,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Jupyter Notebook
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dnikit,Python
28,eidas,Go
29,example-package-dealer,Swift
30,example-package-deckofplayingcards,Swift
31,example-package-figlet,Swift
32,example-package-fisheryates,Swift
33,example-package-playingcard,Swift
34,FHIRModels,Swift
35,foundationdb,C++
36,fstools,C
37,game-center-tools,Python
38,GCGC,Jupyter Notebook
39,homebrew-apple,Ruby
40,HomeKitADK,C
41,learning-compressible-subspaces,Python
42,learning-subspaces,Python
43,live-caller-id-lookup-example,Swift
44,llvm-monorepo-root,
45,llvm-project-v5,C++
46,llvm-project-v5-split,C++
47,ml-4m,Python
48,ml-acn-embed,Python
49,ml-act,Python
50,ml-ademamix,Python
51,ml-afv,Python
52,ml-agm,Python
53,ml-aim,Python
54,ml-all-pairs,Python
55,ml-ane-transformers,Python
56,ml-aspanformer,Python
57,ml-aura,Python
58,ml-autofocusformer,Python
59,ml-autofocusformer-segmentation,Python
60,ml-batchquant,Python
61,ml-behavioral-testing-for-mt,
62,ml-bilevel-train-dist,Python
63,ml-bloop,Python
64,ml-calibration,Jupyter Notebook
65,ml-capsules-inverted-attention-routing,Python
66,ml-cifar-10-faster,Python
67,ml-code-switched-speech-translation,Python
68,ml-codeswitching-translations,
69,ml-collegial-ensembles,Python
70,ml-compress-and-compare,Python
71,ml-core,Python
72,ml-covid-mobility,R
73,ml-cread,Python
74,ml-cross-entropy,Python
75,ml-cubifyanything,Python
76,ml-cvnets,Python
77,ml-cvpr2019-swd,Python
78,ml-dab,Python
79,ml-data-parameters,Python
80,ml-dataset-decomposition,Python
81,ml-delphi,
82,ml-depth-pro,Python
83,ml-destseg,Python
84,ml-diffusion-alignment-gflownet,Python
85,ml-direct2.5,Python
86,ml-divide-or-conquer,Python
87,ml-dms-dataset,Python
88,ml-dprecs,Jupyter Notebook
89,ml-dr,Python
90,ml-duet,Python
91,ml-entity-deduction-arena,Python
92,ml-entropy-reconstruction,Python
93,ml-envmapnet,Python
94,ml-equivariant-neural-rendering,Jupyter Notebook
95,ml-facelit,Python
96,ml-famae,Python
97,ml-fastvit,Python
98,ml-fct,Python
99,ml-ferret,Python
100,ml-finerecon,Python
101,ml-flair,Jupyter Notebook
102,ml-gaudi,
103,ml-gbc,Python
104,ml-gendered-translation,Ruby
105,ml-gmpi,Python
106,ml-gsm-symbolic,
107,ml-gsn,Python
108,ml-hd-gist,Python
109,ml-heart-rate-models,Python
110,ml-hierarchical-confusion-matrix,TypeScript
111,ml-hugs,Python
112,ml-hypercloning,Python
113,ml-hypersim,Python
114,ml-interactive-data-augmentation,Svelte
115,ml-internal-llms-instruction-following,Python
116,ml-interspeech2022-phi_rtn,
117,ml-jointnet,Python
118,ml-key-retrieval-code-tasks,Python
119,ml-keyframer,JavaScript
120,ml-kg-mt,Python
121,ml-kge,Python
122,ml-knowledge-conflicts,Python
123,ml-kpconvx,Python
124,ml-live-pose,
125,ml-llarp,Python
126,ml-lucid-datagen,Python
127,ml-mad-bench,Jupyter Notebook
128,ml-mcf,Python
129,ml-mdm,Python
130,ml-mgie,Python
131,ml-mia-bench,Jupyter Notebook
132,ml-MixupMP,Python
133,ml-mkqa,Python
134,ml-mobileclip,Python
135,ml-mobileone,Swift
136,ml-mofi,Python
137,ml-multiple-futures-prediction,Python
138,ml-mycelium,JavaScript
139,ml-ncg,Python
140,ml-negative-sampling,Python
141,ml-neilf,Python
142,ml-neilfpp,Python
143,ml-neuman,Python
144,ml-no-token-left-behind,Jupyter Notebook
145,ml-np-rasp,Python
146,ml-nvas3d,Python
147,ml-ogen,Python
148,ml-pgdvs,Python
149,ml-planner,Python
150,ml-pointconvformer,Python
151,ml-pointersect,Python
152,ml-probabilistic-attention,Python
153,ml-projunit,Python
154,ml-qrecc,Python
155,ml-quant,Python
156,ml-recurrent-drafter,Python
157,ml-reed,Python
158,ml-reversal-blessing,Python
159,ml-rlgrad,Python
160,ml-robust-expert-augmentations,Python
161,ml-rpm-bench,Python
162,ml-sad,Python
163,ml-sage-dialog-gen,Python
164,ml-sampleplan,Python
165,ml-selfcond,Python
166,ml-shuffling-amplification,Python
167,ml-sigma-reparam,Python
168,ml-sigmoid-attention,Python
169,ml-slowfast-llava,Python
170,ml-spatial-librispeech,
171,ml-speech-is-more-than-words,
172,ml-spin,Python
173,ml-stable-diffusion,Python
174,ml-stabledreamer,
175,ml-stuttering-events-dataset,Python
176,ml-superposition-prompting,Python
177,ml-symphony,Svelte
178,ml-tarflow,Python
179,ml-tic-clip,Python
180,ml-toad,Python
181,ml-tract,Python
182,ml-transcript-translation-consistency-ratings,
183,ml-translate-vis,TypeScript
184,ml-tree-dst,Python
185,ml-tune-mode-convbn,Python
186,ml-tweak,Python
187,ml-uncertainty-llms-instruction-following,Python
188,ml-upscale,Jupyter Notebook
189,ml-uwac,Python
190,ml-veclip,Jupyter Notebook
191,ml-vfi-smiff,Python
192,ml-vfm-kt,
193,ml-vision-transformers-ane,Python
194,ml-vivid,Python
195,music-feed-examples,Java
196,openjdk,Java
197,parameterized-transforms,Python
198,password-manager-resources,JavaScript
199,pfl-research,Jupyter Notebook
200,pkl,Java
201,pkl-evolution,
202,pkl-go,Go
203,pkl-go-examples,Go
204,pkl-intellij,Kotlin
205,pkl-jvm-examples,Groovy
206,pkl-k8s,Pkl
207,pkl-k8s-examples,Pkl
208,pkl-lang.org,JavaScript
209,pkl-lsp,Kotlin
210,pkl-neovim,Scheme
211,pkl-package-docs,Kotlin
212,pkl-pantry,Pkl
213,pkl-project-commons,Pkl
214,pkl-spring,Java
215,pkl-swift,Swift
216,pkl-swift-examples,Swift
217,pkl-vscode,TypeScript
218,pkl.tmbundle,Pkl
219,pytorch-speech-features,Python
220,rules_pkl,Starlark
221,sample-backyard-birds,Swift
222,sample-cloudkit-coredatasync,Swift
223,sample-cloudkit-encryption,Swift
224,sample-cloudkit-privatedb,Swift
225,sample-cloudkit-privatedb-sync,Swift
226,sample-cloudkit-queries,Swift
227,sample-cloudkit-sharing,Swift
228,sample-cloudkit-sync-engine,Swift
229,sample-cloudkit-tooling,JavaScript
230,sample-cloudkit-zonesharing,Swift
231,sample-food-truck,Swift
232,security-pcc,Swift
233,servicetalk,Java
234,swift-3-api-guidelines-review,Swift
235,swift-algorithms,Swift
236,swift-argument-parser,Swift
237,swift-asn1,Swift
238,swift-async-algorithms,Swift
239,swift-async-dns-resolver,Swift
240,swift-atomics,Swift
241,swift-cassandra-client,Swift
242,swift-certificates,Swift
243,swift-clang,C++
244,swift-clang-tools-extra,C++
245,swift-cluster-membership,Swift
246,swift-cmake-examples,CMake
247,swift-collections,Swift
248,swift-collections-benchmark,Swift
249,swift-compiler-rt,C
250,swift-container-plugin,Swift
251,swift-crypto,Assembly
252,swift-distributed-actors,Swift
253,swift-distributed-tracing,Swift
254,swift-distributed-tracing-baggage-core,Swift
255,swift-distributed-tracing-extras,Swift
256,swift-embedded-examples,Swift
257,swift-evolution-staging,Swift
258,swift-for-wasm-examples,Swift
259,swift-getting-started-cli,Swift
260,swift-getting-started-package-library,Swift
261,swift-homomorphic-encryption,Swift
262,swift-homomorphic-encryption-protobuf,
263,swift-http-structured-headers,Swift
264,swift-http-types,Swift
265,swift-internals,HTML
266,swift-issues,
267,swift-libcxx,C++
268,swift-llbuild2,Swift
269,swift-lldb,C++
270,swift-llvm,LLVM
271,swift-log,Swift
272,swift-matter-examples,Swift
273,swift-metrics,Swift
274,swift-metrics-extras,Swift
275,swift-migration-guide,Markdown
276,swift-mmio,Swift
277,swift-nio,Swift
278,swift-nio-examples,Swift
279,swift-nio-extras,Swift
280,swift-nio-http2,Swift
281,swift-nio-imap,Swift
282,swift-nio-nghttp2-support,Swift
283,swift-nio-oblivious-http,Swift
284,swift-nio-ssh,Swift
285,swift-nio-ssl,Assembly
286,swift-nio-ssl-support,Swift
287,swift-nio-transport-services,Swift
288,swift-nio-zlib-support,Swift
289,swift-numerics,Swift
290,swift-openapi-generator,Swift
291,swift-openapi-runtime,Swift
292,swift-openapi-urlsession,Swift
293,swift-playdate-examples,Swift
294,swift-protobuf,Swift
295,swift-protobuf-plugin,
296,swift-protobuf-test-conformance,
297,swift-sample-distributed-actors-transport,Swift
298,swift-service-context,Swift
299,swift-service-discovery,Swift
300,swift-standard-library-preview,Swift
301,swift-statsd-client,Swift
302,swift-string-processing-benchmarks,Swift
303,swift-system,Swift
304,swift-tools-support-async,Swift
305,swift-xcode-playground-support,Swift
306,swiftpm-on-llbuild2,Swift
307,tensor-visualizer,Svelte
308,tensorflow_macos,Shell
309,ToolSandbox,Python
310,tree-sitter-pkl,Kotlin
311,turicreate,C++
312,unityplugins,C#
313,VideoFlashingReduction,Mathematica
314,vqg-multimodal-assistant,Python
